Dataset,Dimension,Mean,Std,Min,Max,Range,Skewness
Forager,1,0.42500994,0.18084091,0.0,1.0,1.0,0.05613517
Forager,2,0.4366124,0.23088193,0.0,1.0,1.0,0.31398913
Forager,3,-2.2178472e-08,0.99833745,-1.4384179,1.4018097,2.8402276,-0.034237724
Forager,4,-9.50506e-09,0.9983375,-1.5301241,1.3049498,2.835074,-0.14946967
Forager,5,0.97342193,0.12611465,0.0,1.0,1.0,-0.21074529
Synthetic,1,0.03188858,0.21550843,-0.49256742,0.63624614,1.1288135,-0.025238018
Synthetic,2,0.034405313,0.214265,-0.52875566,0.6911795,1.2199352,-0.04283363
Synthetic,3,0.049786154,0.25364155,-0.61360663,0.6796889,1.2932955,-0.003766054
Binary,1,0.474,0.49932358,0.0,1.0,1.0,0.94928426
Binary,2,0.476,0.49942368,0.0,1.0,1.0,0.9530986
Binary,3,0.42,0.49355853,0.0,1.0,1.0,0.8509629
